"","x"
"246","ENSG00000231407"
"247","ENSG00000271811"
"248","ENSG00000230630"
"249","ENSG00000270084"
"250","ENSG00000213058"
"251","ENSG00000272906"
"252","ENSG00000135847"
"253","ENSG00000243155"
"254","ENSG00000272198"
"255","ENSG00000261185"
"256","ENSG00000271387"
"257","ENSG00000231767"
"258","ENSG00000272579"
"259","ENSG00000229821"
"260","ENSG00000224818"
"261","ENSG00000223396"
"262","ENSG00000269690"
"263","ENSG00000273478"
"264","ENSG00000234678"
"265","ENSG00000236439"
"266","ENSG00000214796"
"267","ENSG00000240710"
"268","ENSG00000240219"
"269","ENSG00000235363"
"270","ENSG00000196533"
"271","ENSG00000240754"
"272","ENSG00000163486"
"273","ENSG00000143466"
"274","ENSG00000162888"
"275","ENSG00000136653"
"276","ENSG00000224114"
"277","ENSG00000271680"
"278","ENSG00000226945"
"279","ENSG00000203709"
"280","ENSG00000203706"
"281","ENSG00000260805"
"282","ENSG00000229841"
"283","ENSG00000225920"
"284","ENSG00000218283"
"285","ENSG00000272750"
"286","ENSG00000228106"
"287","ENSG00000272645"
"288","ENSG00000232372"
"289","ENSG00000203691"
"290","ENSG00000242861"
"291","ENSG00000269890"
"292","ENSG00000270110"
"293","ENSG00000183929"
"294","ENSG00000234975"
"295","ENSG00000236975"
"296","ENSG00000223393"
"297","ENSG00000233461"
"298","ENSG00000273367"
"299","ENSG00000116957"
"300","ENSG00000273058"
"301","ENSG00000230325"
"302","ENSG00000188206"
"303","ENSG00000272195"
"304","ENSG00000260698"
"305","ENSG00000260855"
"306","ENSG00000227953"
"307","ENSG00000215795"
"308","ENSG00000259865"
"309","ENSG00000227671"
"310","ENSG00000235688"
"311","ENSG00000228613"
"312","ENSG00000225234"
"313","ENSG00000242282"
"314","ENSG00000252531"
"315","ENSG00000225964"
"316","ENSG00000235576"
"317","ENSG00000235092"
"318","ENSG00000260837"
"319","ENSG00000271855"
"320","ENSG00000269973"
"321","ENSG00000260077"
"322","ENSG00000257135"
"323","ENSG00000260331"
"324","ENSG00000260396"
"325","ENSG00000271936"
"326","ENSG00000261452"
"327","ENSG00000272048"
"328","ENSG00000217643"
"329","ENSG00000272148"
"330","ENSG00000234072"
"331","ENSG00000270640"
"332","ENSG00000270210"
"333","ENSG00000235997"
"334","ENSG00000229816"
"335","ENSG00000260025"
"336","ENSG00000272054"
"337","ENSG00000213553"
"338","ENSG00000229692"
"339","ENSG00000226491"
"340","ENSG00000230587"
"341","ENSG00000234936"
"342","ENSG00000228925"
"343","ENSG00000230979"
"344","ENSG00000233230"
"345","ENSG00000272156"
"346","ENSG00000238018"
"347","ENSG00000227799"
"348","ENSG00000240401"
"349","ENSG00000138041"
"350","ENSG00000272180"
"351","ENSG00000233426"
"352","ENSG00000237522"
"353","ENSG00000232713"
"354","ENSG00000273302"
"355","ENSG00000270820"
"356","ENSG00000225889"
"357","ENSG00000232613"
"358","ENSG00000172974"
"359","ENSG00000273064"
"360","ENSG00000188971"
"361","ENSG00000257800"
"362","ENSG00000217702"
"363","ENSG00000159239"
"364","ENSG00000272183"
"365","ENSG00000272711"
"366","ENSG00000270571"
"367","ENSG00000270696"
"368","ENSG00000246575"
"369","ENSG00000229498"
"370","ENSG00000232504"
"371","ENSG00000272564"
"372","ENSG00000228363"
"373","ENSG00000231259"
"374","ENSG00000204745"
"375","ENSG00000233999"
"376","ENSG00000273445"
"377","ENSG00000240040"
"378","ENSG00000231486"
"379","ENSG00000211593"
"380","ENSG00000211594"
"381","ENSG00000211595"
"382","ENSG00000211598"
"383","ENSG00000211599"
"384","ENSG00000197794"
"385","ENSG00000243466"
"386","ENSG00000239855"
"387","ENSG00000243063"
"388","ENSG00000240671"
"389","ENSG00000241755"
"390","ENSG00000241351"
"391","ENSG00000243290"
"392","ENSG00000253497"
"393","ENSG00000244437"
"394","ENSG00000240864"
"395","ENSG00000240382"
"396","ENSG00000239951"
"397","ENSG00000211611"
"398","ENSG00000241294"
"399","ENSG00000254098"
"400","ENSG00000244575"
"401","ENSG00000244116"
"402","ENSG00000253998"
"403","ENSG00000243238"
"404","ENSG00000242076"
"405","ENSG00000239862"
"406","ENSG00000242371"
"407","ENSG00000211619"
"408","ENSG00000251039"
"409","ENSG00000251546"
"410","ENSG00000239975"
"411","ENSG00000243264"
"412","ENSG00000242534"
"413","ENSG00000224607"
"414","ENSG00000241566"
"415","ENSG00000225523"
"416","ENSG00000211625"
"417","ENSG00000242766"
"418","ENSG00000241244"
"419","ENSG00000224041"
"420","ENSG00000211630"
"421","ENSG00000240834"
"422","ENSG00000211632"
"423","ENSG00000242580"
"424","ENSG00000239819"
"425","ENSG00000235896"
"426","ENSG00000228325"
"427","ENSG00000261600"
"428","ENSG00000143429"
"429","ENSG00000223564"
"430","ENSG00000232502"
"431","ENSG00000235571"
"432","ENSG00000204717"
"433","ENSG00000163067"
"434","ENSG00000272913"
"435","ENSG00000229689"
"436","ENSG00000236431"
"437","ENSG00000273305"
"438","ENSG00000168992"
"439","ENSG00000232931"
"440","ENSG00000222040"
"441","ENSG00000204685"
"442","ENSG00000230606"
"443","ENSG00000273306"
"444","ENSG00000223947"
"445","ENSG00000234389"
"446","ENSG00000272994"
"447","ENSG00000238273"
"448","ENSG00000214199"
"449","ENSG00000229457"
"450","ENSG00000225588"
"451","ENSG00000259863"
"452","ENSG00000230650"
"453","ENSG00000175772"
"454","ENSG00000230596"
"455","ENSG00000271590"
"456","ENSG00000237753"
"457","ENSG00000258395"
"458","ENSG00000231292"
"459","ENSG00000234997"
"460","ENSG00000272563"
"461","ENSG00000236397"
"462","ENSG00000240356"
"463","ENSG00000236255"
"464","ENSG00000231731"
"465","ENSG00000272789"
"466","ENSG00000270081"
"467","ENSG00000272667"
"468","ENSG00000213225"
"469","ENSG00000178162"
"470","ENSG00000233221"
"471","ENSG00000197927"
"472","ENSG00000213222"
"473","ENSG00000272769"
"474","ENSG00000224043"
"475","ENSG00000229781"
"476","ENSG00000234584"
"477","ENSG00000270557"
"478","ENSG00000224152"
"479","ENSG00000235724"
"480","ENSG00000232320"
"481","ENSG00000226121"
"482","ENSG00000233762"
"483","ENSG00000228389"
"484","ENSG00000225205"
"485","ENSG00000271151"
"486","ENSG00000226853"
"487","ENSG00000235655"
"488","ENSG00000218175"
"489","ENSG00000163364"
"490","ENSG00000225808"
"491","ENSG00000226564"
"492","ENSG00000234663"
"493","ENSG00000260742"
"494","ENSG00000272800"
"495","ENSG00000237877"
"496","ENSG00000259915"
"497","ENSG00000224063"
"498","ENSG00000204253"
"499","ENSG00000233766"
"500","ENSG00000272211"
"501","ENSG00000229056"
"502","ENSG00000260006"
"503","ENSG00000213090"
"504","ENSG00000273209"
"505","ENSG00000273456"
"506","ENSG00000236047"
"507","ENSG00000204196"
"508","ENSG00000180672"
"509","ENSG00000227946"
"510","ENSG00000244567"
"511","ENSG00000272807"
"512","ENSG00000229127"
"513","ENSG00000270659"
"514","ENSG00000231672"
"515","ENSG00000229754"
"516","ENSG00000261338"
"517","ENSG00000273466"
"518","ENSG00000236451"
"519","ENSG00000272944"
"520","ENSG00000267034"
"521","ENSG00000261428"
"522","ENSG00000228446"
"523","ENSG00000235070"
"524","ENSG00000272622"
"525","ENSG00000261379"
"526","ENSG00000225963"
"527","ENSG00000243650"
"528","ENSG00000237039"
"529","ENSG00000224376"
"530","ENSG00000237641"
"531","ENSG00000251485"
"532","ENSG00000237126"
"533","ENSG00000259793"
"534","ENSG00000227252"
"535","ENSG00000227107"
"536","ENSG00000219159"
"537","ENSG00000229996"
"538","ENSG00000225521"
"539","ENSG00000223374"
"540","ENSG00000228989"
"541","ENSG00000235351"
"542","ENSG00000224272"
"543","ENSG00000261186"
"544","ENSG00000220804"
"545","ENSG00000224239"
"546","ENSG00000237990"
"547","ENSG00000271870"
"548","ENSG00000231249"
"549","ENSG00000233912"
"550","ENSG00000237697"
