"","genes","logFC","logCPM","LR","PValue","FDR"
"102","ENSG00000066279",-3.16491985656957,0.650625582840113,33.1105988784318,8.70628416821588e-09,1.66076638295075e-06
"103","ENSG00000163219",-1.76757139710692,4.23783339113025,33.0132601476057,9.15324600777740e-09,1.72907483080898e-06
"104","ENSG00000177455",-4.94439763838342,4.33887220506791,32.9564201086995,9.42479972726492e-09,1.76325315666725e-06
"105","ENSG00000073737",-3.12583938193524,-0.177965701297958,32.8000905823386,1.02140083933372e-08,1.87951842120191e-06
"106","ENSG00000171608",-1.52959885200251,5.55016856348005,32.795254906253,1.02394486635865e-08,1.87951842120191e-06
"107","ENSG00000137804",-2.49071178626267,1.95724734779024,32.6042393588056,1.12968073186868e-08,2.05422411214663e-06
"108","ENSG00000255354",-3.74818229661109,0.607895911241605,32.4121732454564,1.24702844055555e-08,2.2466141081379e-06
"109","ENSG00000028277",-2.93552729958016,4.35429458630243,32.380749385342,1.26735778507303e-08,2.26229178203358e-06
"110","ENSG00000151490",-2.36909467611418,0.874385294707469,32.3423607506039,1.29264393703462e-08,2.28645209844388e-06
"111","ENSG00000162739",-3.00713395706877,3.59952268392006,32.2562933744588,1.35118732040584e-08,2.36847312550778e-06
"112","ENSG00000175063",-3.28555425144634,0.977589675693185,32.1853008707766,1.40147035769444e-08,2.43467935264828e-06
"113","ENSG00000180875",2.78308148209728,1.06315781748745,32.0257536644622,1.52142176852328e-08,2.61664968888303e-06
"114","ENSG00000110665",-2.64159772517112,3.09090983689148,32.0073292950918,1.53591994822175e-08,2.61664968888303e-06
"115","ENSG00000179715",-2.17761648105476,3.62698275307873,31.9939149016888,1.54656274976383e-08,2.61664968888303e-06
"116","ENSG00000187764",-1.19820335481819,6.33384706518511,31.9661998440696,1.56878605804336e-08,2.6313681320129e-06
"117","ENSG00000166707",-2.13704521958461,1.3538537137889,31.934356322237,1.59471495208419e-08,2.63511054607137e-06
"118","ENSG00000101445",-1.49071896798837,4.59073592599336,31.9302328905072,1.59810373868747e-08,2.63511054607137e-06
"119","ENSG00000136573",-4.14009665589919,4.21219321926389,31.8346827886791,1.67868268475412e-08,2.74136129333484e-06
"120","ENSG00000158517",-2.57802653125543,2.51458353256065,31.8208049508834,1.69071981908917e-08,2.74136129333484e-06
"121","ENSG00000130475",-2.78794091681442,3.02508060935557,31.6598984456323,1.8367601649467e-08,2.95354070490644e-06
"122","ENSG00000213443",-1.87340667335322,2.68843291307544,31.6290193299146,1.86619921176372e-08,2.97628180846612e-06
"123","ENSG00000069493",-1.83398849028844,4.33893348837208,31.399867018614,2.09995287266483e-08,3.30553015796493e-06
