"","C.NO.1","N.IM.1","N.MSC.1","N.MSCplusIM.1","C.NO.2","N.IM.2","N.MSC.2","N.MSCplusIM.2","C.NO.3","N.IM.3","N.MSC.3","N.MSCplusIM.3"
"8066431",8.42035635210893,8.58720146018764,8.21042739012671,8.25511680869376,8.28978561091432,8.64560727645102,7.93421258448837,8.03663170298154,8.48782124327875,8.40399750082619,7.73869730439606,8.15514171627366
"7925531",5.89892181316647,6.53658507802967,6.1118584569147,6.74178324129933,6.66363972262058,6.88901046515274,6.81902765634259,7.31760028190864,6.3163538572636,6.84513078980863,6.92234567232395,7.3915089379695
"7981949",5.74066880481503,5.71908085973111,5.72574777605508,6.18678396332341,6.09337180563482,6.20605454762046,6.24731045787234,6.36697833077548,5.7655262646625,6.05250187085267,5.92804594285863,5.78099359569652
"7981951",4.85866307713135,5.24990136963627,5.45817828541135,4.19127513839922,5.38526451714667,5.14544901798465,4.8205651416692,5.01074759271681,4.43150381275788,5.06815441588658,5.10191341672263,5.22619170756112
"7981960",4.54340895984691,4.23301026856719,3.88802373581212,4.66409123552326,4.37217782787524,4.77208250779716,4.66946968014876,4.41986452194487,4.30678947338453,3.98268325606702,4.08372991944766,3.76825355237562
"7981972",2.79100259601793,2.86543903030797,2.90640405426859,3.27314809406207,2.79125552264226,2.49119260920587,3.59350469243072,3.05081261704847,2.77873517762743,3.05968614172818,2.62435214572344,2.57091743601996
"7981976",8.56461088588779,8.42636908012319,8.7657347504706,8.48069047994516,9.01667753657176,9.05939252829186,9.15803236430914,8.96743449707593,8.27628170540633,8.22617768727781,9.0500072378616,8.78964230215033
"7981978",9.66129091908611,9.56805762916754,9.88858765524394,10.0268798331986,10.4099401761434,10.2020334513495,10.5393333551312,10.21529118729,9.47219217339416,9.43012820478289,10.1583786160344,10.011947374081
"7981984",2.55933447620881,2.06911641092203,2.50590257565019,2.23709669303057,2.16708930994172,2.12635699606281,2.56512321385651,2.5829351758082,2.24185526431611,1.94362374349319,1.96432117425359,2.29344267592975
"7981992",2.93784156776997,2.64838462867062,2.61062128823624,2.78274251245061,3.26057880103835,2.55244783454918,3.13415454127626,3.16695309154261,2.48094226685804,2.39601620537154,3.16195642583451,3.10633701750276
"7981996",5.3480226660032,5.06481477174151,5.0340168439854,5.18741968258729,5.24547003049589,5.30809336921032,5.63082678854908,5.53993508103207,5.27264178922719,5.12828382624804,6.33477108340605,6.21107915273006
"7981998",3.39641151735796,3.13034457090494,3.4815257374462,3.82640400048564,3.39429272293135,3.20268155980574,3.3457010000432,3.76164869222153,3.66723925905801,3.16939977296219,3.26066728521602,2.96539076605243
"7982072",2.37031297189351,2.31146456468926,2.32345007987452,2.46589124011144,2.5120916290292,2.31438232062556,2.0628147331257,2.53615316849379,2.04978178691205,2.54940340684187,2.16975053881531,2.62529870266043
"7982094",2.36095377390458,2.69622232390876,2.80160052668883,2.39534085581685,2.38817769517406,2.30067317843106,2.89747605449883,2.3032852225381,2.62539142777483,2.43245303756552,2.88159343282813,3.4449357910979
"7982006",3.38848745244805,3.02514114317531,3.19330098618966,3.16722731850686,3.15900117198708,3.43598574872311,3.09821517520532,3.05893888257804,3.28900438192847,2.72266050365906,3.51694564971529,3.50137839310147
"8038885",5.08213474216862,4.48902064562098,4.84298575993949,5.05731804656481,5.94947677718463,5.36164879575418,5.46294679451937,5.19306653929955,5.47812541191666,5.24031638109113,5.54426423878909,5.6149053032737
"8114787",7.34000638411594,7.23302446612159,7.48570565079163,7.31425086204269,6.69605627019665,7.05402920677063,6.88278915617138,6.6134942838625,7.27736593842014,7.14737744494882,7.16106300312735,7.16232299979624
"7950409",5.57680390328136,6.29188436978884,5.47431992940311,5.47050098324467,5.97413118120736,6.02507050587383,6.1720553834596,5.64266314097526,5.57162265999958,5.75443624227157,5.63342519466036,5.56682094606961
"8022872",4.55365144422402,4.48464519922896,4.90830182308688,5.02550412805003,4.88634225675168,4.9613763356562,5.10488686969695,5.20879607239589,5.03845785675685,4.64873370312463,4.99263046241956,4.62436048737169
"8114583",7.60177811115664,7.96255425848375,7.44589375151765,7.40688295003311,7.02578893961736,7.2469119810738,6.79436503219578,7.27404627567384,7.58589059402803,7.69333506038728,7.16298178687674,7.15479897516514
"8163710",4.59064596448411,5.10157696480639,4.52539836562876,4.39197990805789,4.68254481310551,4.70886175021631,4.87658041825,4.06786551346442,4.97106412097913,4.36501869014729,4.55009914594394,4.55967962776344
"8130824",5.64799725448966,5.55870836400465,5.43201507368316,5.71880608823031,5.66815202388782,5.22866116986596,5.59351140671433,5.37868117348029,5.45018572949946,5.71401051105598,5.31501544538441,5.31047587043673
"8067358",4.19713517957275,4.52264658976578,4.82066155536241,4.16562733825996,4.58314202089152,4.29695700075606,3.95446607073489,4.3910377945038,4.20087218778753,4.14088592135282,4.64330957715254,4.06212162339051
"8065244",2.82269426890115,2.42900322396738,2.74678834652313,2.80612169571741,2.67581269202495,2.43689680544252,2.9663060357796,2.50370209134829,2.34131498851479,2.61527319271928,2.50490666377585,2.72122150666099
"7937104",4.01507063048441,3.76722149733371,3.63756679299294,3.75466794914264,4.01899794266091,4.10355392463621,4.12583735530469,3.70690034722268,3.60846950011946,4.24231967459025,4.23063279098451,3.82906027967851
